Part,Quantity,Price (USD),Product Link,Purpose
Seeed Studio XIAO RP2040,1,3.79,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html,Main microcontroller
Adafruit STEMMA Soil Sensor,1,7.50,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4026/9745252,Measures soil moisture and local temperature
0.96-inch SSD1306 I2C OLED,1,6.89,https://shillehtek.com/products/0-96-i2c-blue-oled-display-module-4-pin-ssd1306,"Displays the selected plant, sensor readings, and status"
Custom 2-layer PCB,1 order / 5 boards,2.00,https://jlcpcb.com/,"Connects the XIAO, switches, OLED, and sensor"
Gateron MX switches,1 pack / 20 switches,2.99,https://www.ebay.com/itm/137016595098,Three switches are used for device controls
Blank 1U keycaps,1 pack / 10 keycaps,9.99,https://www.walmart.com/ip/Uxcell-1U-Blank-Keycaps-PBT-Universal-Keyboard-Replacement-Accessories-for-MX-Mechanical-Keyboard-Black-10-Pack/1837060092,Covers the three mechanical switches
M3 heat-set inserts,4,1.79,https://partsbuilt.com/m3-heat-set-thread-insert-5mm-long-4-pack/,Provides threaded mounting points in the enclosure
M3 x 8 mm screws,1 pack / 20 screws,1.95,https://bc-robotics.com/shop/m3-x-8mm-phillips-20-pack/,Secures the enclosure
2.54 mm breakaway headers,1 strip,1.00,https://www.pololu.com/product/2664,"Connects the XIAO, OLED, and soil sensor"
3D-printed enclosure,1 set,1.50,Printed from included STEP files,Holds and protects the electronics
Hookup wire and solder,As needed,1.00,Already available,Used for sensor wiring and assembly
Total,,40.40,,
